Rank,Title,Year,Lifetime Gross,GrossNumeric
1,Avengers: Endgame,2019,"$2,797,800,564 ",2797800564
2,Avatar,2009,"$2,790,439,000 ",2790439000
3,Titanic,1997,"$2,195,169,138 ",2195169138
4,Star Wars: Episode VII - The Force Awakens,2015,"$2,068,223,624 ",2068223624
5,Avengers: Infinity War,2018,"$2,048,359,754 ",2048359754
6,Jurassic World,2015,"$1,670,400,637 ",1670400637
7,The Lion King,2019,"$1,656,943,394 ",1656943394
8,The Avengers,2012,"$1,518,812,988 ",1518812988
9,Furious 7,2015,"$1,515,048,151 ",1515048151
10,Frozen II,2019,"$1,450,026,933 ",1450026933
11,Avengers: Age of Ultron,2015,"$1,402,805,868 ",1402805868
12,Harry Potter and the Deathly Hallows: Part 2,2010,"$1,361,871,305 ",1361871305
13,Black Panther,2018,"$1,347,280,161 ",1347280161
14,Star Wars: Episode VIII - The Last Jedi,2017,"$1,332,539,889 ",1332539889
15,Jurassic World: Fallen Kingdom,2018,"$1,308,467,944 ",1308467944
16,Frozen,2013,"$1,280,802,282 ",1280802282
17,Beauty and the Beast,2017,"$1,263,536,328 ",1263536328
18,Incredibles 2,2018,"$1,242,805,359 ",1242805359
19,The Fate of the Furious,2017,"$1,236,005,118 ",1236005118
20,Iron Man 3,2013,"$1,214,811,252 ",1214811252
21,Minions,2015,"$1,159,418,131 ",1159418131
22,Captain America: Civil War,2016,"$1,153,296,293 ",1153296293
23,Aquaman,2018,"$1,148,461,807 ",1148461807
24,The Lord of the Rings: The Return of the King,2003,"$1,141,986,831 ",1141986831
25,Spider-Man: Far from Home,2019,"$1,131,927,996 ",1131927996
26,Captain Marvel,2019,"$1,128,275,263 ",1128275263
27,Transformers: Dark of the Moon,2011,"$1,123,794,079 ",1123794079
28,Skyfall,2012,"$1,108,561,013 ",1108561013
29,Transformers: Age of Extinction,2014,"$1,104,054,072 ",1104054072
30,The Dark Knight Rises,2012,"$1,081,056,756 ",1081056756
31,Joker,2019,"$1,074,251,311 ",1074251311
32,Star Wars: Episode IX - The Rise of Skywalker,2019,"$1,074,144,248 ",1074144248
33,Toy Story 4,2019,"$1,073,394,593 ",1073394593
34,Toy Story 3,2010,"$1,066,969,703 ",1066969703
35,Pirates of the Caribbean: Dead Man's Chest,2006,"$1,066,179,725 ",1066179725
36,Rogue One: A Star Wars Story,2016,"$1,056,057,273 ",1056057273
37,Aladdin,2019,"$1,050,693,953 ",1050693953
38,Pirates of the Caribbean: On Stranger Tides,2011,"$1,045,713,802 ",1045713802
39,The Dark Knight,2008,"$1,037,989,858 ",1037989858
40,Despicable Me 3,2017,"$1,034,799,409 ",1034799409
41,Jurassic Park,1993,"$1,032,762,121 ",1032762121
42,Finding Dory,2016,"$1,028,570,889 ",1028570889
43,Star Wars: Episode I - The Phantom Menace,1999,"$1,027,082,707 ",1027082707
44,Alice in Wonderland,2010,"$1,025,467,110 ",1025467110
45,Zootopia,2016,"$1,023,784,195 ",1023784195
46,The Hobbit: An Unexpected Journey,2012,"$1,017,003,568 ",1017003568
47,Harry Potter and the Sorcerer's Stone,2001,"$1,001,732,101 ",1001732101
48,Harry Potter and the Deathly Hallows: Part 1,2010,"$980,796,121 ",980796121
49,Despicable Me 2,2013,"$970,766,005 ",970766005
50,The Lion King,1994,"$968,511,805 ",968511805
51,The Jungle Book,2016,"$966,551,947 ",966551947
52,Finding Nemo,2003,"$962,859,504 ",962859504
53,Jumanji: Welcome to the Jungle,2017,"$962,102,237 ",962102237
54,Pirates of the Caribbean: At World's End,2007,"$960,996,492 ",960996492
55,The Hobbit: The Desolation of Smaug,2013,"$958,366,855 ",958366855
56,The Hobbit: The Battle of the Five Armies,2014,"$956,019,788 ",956019788
57,The Lord of the Rings: The Two Towers,2002,"$951,213,658 ",951213658
58,Harry Potter and the Order of the Phoenix,2007,"$942,049,682 ",942049682
59,Harry Potter and the Half-Blood Prince,2009,"$934,335,712 ",934335712
60,Shrek 2,2004,"$928,760,770 ",928760770
61,Bohemian Rhapsody,2018,"$903,666,641 ",903666641
62,Harry Potter and the Goblet of Fire,2005,"$896,354,649 ",896354649
63,Harry Potter and the Chamber of Secrets,2002,"$895,860,534 ",895860534
64,Spider-Man 3,2007,"$894,983,373 ",894983373
65,The Lord of the Rings: The Fellowship of the Ring,2001,"$887,840,886 ",887840886
66,Ice Age: Dawn of the Dinosaurs,2009,"$886,686,817 ",886686817
67,Spectre,2015,"$880,674,609 ",880674609
68,Spider-Man: Homecoming,2017,"$880,166,924 ",880166924
69,Ice Age: Continental Drift,2012,"$877,244,782 ",877244782
70,The Secret Life of Pets,2016,"$875,457,937 ",875457937
71,Batman v Superman: Dawn of Justice,2016,"$873,637,516 ",873637516
72,Wolf Warrior 2,2017,"$870,325,439 ",870325439
73,Star Wars: Episode III - Revenge of the Sith,2005,"$868,390,560 ",868390560
74,The Hunger Games: Catching Fire,2013,"$865,011,746 ",865011746
75,Guardians of the Galaxy Vol. 2,2017,"$863,756,051 ",863756051
76,Inside Out,2015,"$857,951,174 ",857951174
77,Venom,2018,"$856,085,151 ",856085151
78,Thor: Ragnarok,2017,"$853,977,126 ",853977126
79,Transformers: Revenge of the Fallen,2009,"$836,303,693 ",836303693
80,Inception,2010,"$829,899,072 ",829899072
81,The Twilight Saga: Breaking Dawn - Part 2,2012,"$829,746,820 ",829746820
82,Spider-Man,2002,"$825,025,036 ",825025036
83,Wonder Woman,2017,"$821,847,012 ",821847012
84,Independence Day,1996,"$817,400,891 ",817400891
85,Fantastic Beasts and Where to Find Them,2016,"$814,038,508 ",814038508
86,Shrek the Third,2007,"$813,367,380 ",813367380
87,Coco,2017,"$807,082,196 ",807082196
88,Harry Potter and the Prisoner of Azkaban,2004,"$796,783,363 ",796783363
89,Jumanji: The Next Level,2019,"$796,575,993 ",796575993
90,Pirates of the Caribbean: Dead Men Tell No Tales,2017,"$794,861,794 ",794861794
91,E.T. the Extra-Terrestrial,1982,"$793,482,178 ",793482178
92,2012,2009,"$791,217,826 ",791217826
93,Mission: Impossible - Fallout,2018,"$791,115,104 ",791115104
