,directors
0,Steven Spielberg
1,Martin Scorsese
2,Alfred Hitchcock
3,Stanley Kubrick
4,Quentin Tarantino
5,Orson Welles
6,Francis Ford Coppola
7,Ridley Scott
8,Akira Kurosawa
9,Joel Coen
10,Ethan Coen
11,John Ford
12,Sergio Leone
13,Woody Allen
14,Billy Wilder
15,Clint Eastwood
16,Frank Capra
17,Charles Chaplin
18,Christopher Nolan
19,Roman Polanski
20,Ingmar Bergman
21,David Lynch
22,Fritz Lang
23,David Fincher
24,Peter Jackson
25,Federico Fellini
26,Tim Burton
27,James Cameron
28,Sidney Lumet
29,Brian De Palma
30,François Truffaut
31,Terrence Malick
32,David Cronenberg
33,William Wyler
34,Robert Zemeckis
35,Ang Lee
36,Howard Hawks
37,George Lucas
38,Mel Brooks
39,Terry Gilliam
40,Milos Forman
41,Steven Soderbergh
42,John Huston
43,Werner Herzog
44,Oliver Stone
45,David Lean
46,Danny Boyle
47,Rob Reiner
48,Buster Keaton
49,Michael Curtiz
50,Sam Raimi
51,Michael Mann
52,Robert Altman
53,Sam Peckinpah
54,Peter Weir
55,Spike Lee
56,Jean Renoir
57,Andrei Tarkovsky
58,Elia Kazan
59,John Cassavetes
60,Vincente Minnelli
61,Hayao Miyazaki
62,Frank Darabont
63,Kathryn Bigelow
64,George Cukor
65,Ron Howard
66,John Carpenter
67,Guy Ritchie
68,Tony Scott
69,Gus Van Sant
70,Preston Sturges
71,Eisenstein
72,Russell
73,John Frankenheimer
74,Blake Edwards
75,Ernst Lubitsch
76,Jonathan Demme
77,Iñárritu
78,Sam Mendes
79,Guillermo del Toro
80,Mankiewicz
81,Satyajit Ray
82,Paul Thomas Anderson
83,Wes Anderson
84,Alfonso Cuarón
85,Paul Verhoeven
86,Murnau
87,Robert Wise
88,Franco Zeffirelli
89,Paul Greengrass
90,Murnau
91,Don Siegel
92,Vittorio De Sica
93,John Hughes
94,Robert Rodriguez
95,Zack Snyder
96,Mel Gibson
97,Luis Buñuel
98,Greta Gerwig
99,Krzysztof Kieslowski
100,Jean-Luc Godard
101,Tom Hooper
102,William Friedkin
103,Antoine Fuqua
104,Sydney Pollack
105,Bernardo Bertolucci
106,John Lasseter
107,David Ayer
108,Abrams
109,Mike Nichols
110,Lars von Trier
111,John Milius
112,John McTiernan
113,Costa-Gavras
114,DeMille
115,Darren Aronofsky
116,Luc Besson
117,Doug Liman
118,Bryan Singer
119,Richard Linklater
120,Anthony Minghella
121,Curtis Hanson
122,Michael Haneke
123,Griffith
124,Alan Parker
125,Edgar Wright
126,Pedro Almodóvar
127,Barry Levinson
128,Michelangelo Antonioni
129,Cameron Crowe
130,Jim Jarmusch
131,Vittorio De Sica
132,Spike Jonze
133,Harold Ramis
134,Michael Moore
135,Shane Meadows
136,Ken Loach
137,Bobby Farrelly
138,Jacques Audiard
139,Gore Verbinski
140,Jay Roach
141,Jim Sheridan
142,John Landis
143,Richard Donner
144,Jason Reitman
145,Robert Redford
146,Andrew Dominik
147,Joss Whedon
148,George Miller
149,David Zucker
150,Romero
151,Mike Leigh
152,Russell
153,Neil Jordan
154,Wilfred Jackson
155,Pakula
156,George Roy Hill
157,Michael Powell
158,Richard Donner
159,John Woo
160,Sofia Coppola
161,Sofia Coppola
162,Takashi Miike
163,Brad Bird
164,Alex Gibney
165,Bob Foss
166,Carol Reed
167,Christopher Guest
168,Otto Preminger
169,Peter Bogdanovich
170,David Yates
171,Wes Craven
172,Kevin Smith
173,Fred Zinnemann
174,Ava DuVernay
175,Jean-Pierre Jeunet
176,George Stevens
177,Frank Lloyd
178,Wim Wenders
179,Georges Méliès
180,Wolfgang Petersen
181,Leo McCarey
182,Lewis Milestone
183,Éric Rohmer
184,Lilly Wachowski
185,Neill Blomkamp
186,Warren Beatty
187,Pier Paolo Pasolini
188,Kar-Wai Wong
189,Robert Bresson
190,Emir Kusturica
191,Yasujirô Ozu
192,John Lasseter
193,Michael Haneke
194,Takeshi Kitano
195,Theodoros Angelopoulos
196,James Whale
197,Terence Fisher
198,Chuck Jones
199,Luchino Visconti
