id,budget,company,country,director,genre,domestic_revenue_usd,name,rating,released,runtime,score,star,votes,writer,year,rank,total_revenue_usd,international_revenue_usd
3750,137000000,Universal Pictures,USA,Ang Lee,Action,132177234,Hulk,PG-13,6/20/2003,138,5.7,Eric Bana,223943,Stan Lee,2003,633,245285165,113107931
3198,6000000,Brant-Allen,USA,Ed Harris,Biography,8596914,Pollock,R,3/23/2001,122,7,Ed Harris,24202,Steven Naifeh,2000,7027,10994533,2397619
5062,237000000,Twentieth Century Fox Film Corporation,UK,James Cameron,Action,760507625,Avatar,PG-13,12/18/2009,162,7.8,Sam Worthington,954412,James Cameron,2009,2,2790439000,2029931375
2421,200000000,Twentieth Century Fox Film Corporation,USA,James Cameron,Drama,658672302,Titanic,PG-13,12/19/1997,194,7.8,Leonardo DiCaprio,862554,James Cameron,1997,3,2195169138,1536496836
6409,190000000,Universal Pictures,USA,James Wan,Action,353007020,Furious 7,PG-13,4/3/2015,137,7.2,Vin Diesel,309837,Chris Morgan,2015,9,1515048151,1162041131
5944,150000000,Walt Disney Animation Studios,USA,Chris Buck,Animation,400738009,Frozen,PG,11/27/2013,102,7.5,Kristen Bell,464149,Jennifer Lee,2013,16,1280802282,880064273
5396,0,A Bigger Boat,USA,Adam Green,Thriller,243390,Frozen,R,6/4/2010,93,6.2,Shawn Ashmore,57244,Adam Green,2010,16,1280802282,1280558892
6443,74000000,Illumination Entertainment,USA,Kyle Balda,Animation,336045770,Minions,PG,7/10/2015,91,6.4,Sandra Bullock,169228,Brian Lynch,2015,21,1159418131,823372361
5735,200000000,Eon Productions,UK,Sam Mendes,Action,304360277,Skyfall,PG-13,11/9/2012,143,7.8,Daniel Craig,556275,Ian Fleming,2012,28,1108561013,804200736
1323,28000000,Walt Disney Pictures,USA,Ron Clements,Animation,217350219,Aladdin,G,11/25/1992,90,8,Scott Weinger,287068,Ron Clements,1992,37,1050693953,833343734
6631,150000000,Walt Disney Pictures,USA,Byron Howard,Animation,341268248,Zootopia,PG,3/4/2016,108,8,Ginnifer Goodwin,317549,Byron Howard,2016,45,1023784195,682515947
4002,150000000,DreamWorks,USA,Andrew Adamson,Animation,436471036,Shrek 2,PG,5/19/2004,93,7.2,Mike Myers,342666,William Steig,2004,60,928760770,492289734
6391,245000000,B24,UK,Sam Mendes,Action,200074175,Spectre,PG-13,11/6/2015,148,6.8,Daniel Craig,318152,John Logan,2015,67,880674609,680600434
4352,0,Dimension Films,USA,Jim Gillespie,Horror,881745,Venom,R,9/16/2005,87,4.7,Agnes Bruckner,8454,Flint Dille,2005,77,856085151,855203406
5281,160000000,Warner Bros.,USA,Christopher Nolan,Action,292576195,Inception,PG-13,7/16/2010,148,8.8,Leonardo DiCaprio,1629342,Christopher Nolan,2010,80,829899072,537322877
5073,200000000,Columbia Pictures,USA,Roland Emmerich,Action,166112167,2012,PG-13,11/13/2009,158,5.8,John Cusack,303766,Roland Emmerich,2009,92,791217826,625105659
6617,58000000,Twentieth Century Fox Film Corporation,USA,Tim Miller,Action,363070709,Deadpool,R,2/12/2016,108,8,Ryan Reynolds,668625,Rhett Reese,2016,98,782612155,419541446
6192,180000000,Roth Films,USA,Robert Stromberg,Action,241410378,Maleficent,PG,5/30/2014,97,7,Angelina Jolie,275137,Linda Woolverton,2014,103,758410378,517000000
5076,175000000,Pixar Animation Studios,USA,Pete Docter,Animation,293004164,Up,PG,5/29/2009,96,8.3,Edward Asner,743601,Pete Docter,2009,113,735099082,442094918
5957,100000000,Warner Bros.,UK,Alfonso Cuarón,Drama,274092705,Gravity,PG-13,10/4/2013,91,7.8,Sandra Bullock,638007,Alfonso Cuarón,2013,116,723192705,449100000
4621,150000000,DreamWorks,USA,Michael Bay,Action,319071806,Transformers,PG-13,7/3/2007,144,7.1,Shia LaBeouf,541000,Roberto Orci,2007,120,709709780,390637974
6607,150000000,Walt Disney Animation Studios,USA,Ron Clements,Animation,248757044,Moana,PG,11/23/2016,107,7.6,Auli'i Cravalho,157290,Jared Bush,2016,127,690860472,442103428
6162,165000000,Paramount Pictures,USA,Christopher Nolan,Adventure,188020017,Interstellar,PG-13,11/7/2014,169,8.6,Matthew McConaughey,1095553,Jonathan Nolan,2014,130,677941498,489921481
6605,75000000,Dentsu,USA,Garth Jennings,Animation,270329045,Sing,PG,12/21/2016,108,7.1,Matthew McConaughey,81466,Garth Jennings,2016,143,634153632,363824587
