,budget,company,director,genre,domestic_revenue_usd,name_domestic,rating,released,runtime,score,star,votes,writer
0,8000000,Columbia Pictures Corporation,Rob Reiner,Adventure,52287414,Stand by me,R,8/22/86,89,8.1,Wil Wheaton,299174,Stephen King
1,6000000,Paramount Pictures,John Hughes,Comedy,70136369,Ferris bueller's day off,PG-13,6/11/86,103,7.8,Matthew Broderick,264740,John Hughes
2,15000000,Paramount Pictures,Tony Scott,Action,179800601,Top gun,PG,5/16/86,110,6.9,Tom Cruise,236909,Jim Cash
3,18500000,Twentieth Century Fox Film Corporation,James Cameron,Action,85160248,Aliens,R,7/18/86,137,8.4,Sigourney Weaver,540152,James Cameron
4,9000000,Walt Disney Pictures,Randal Kleiser,Adventure,18564613,Flight of the navigator,PG,8/1/86,90,6.9,Joey Cramer,36636,Mark H. Baker
5,6000000,Hemdale,Oliver Stone,Drama,138530565,Platoon,R,2/6/87,120,8.1,Charlie Sheen,317585,Oliver Stone
6,25000000,Henson Associates (HA),Jim Henson,Adventure,12729917,Labyrinth,PG,6/27/86,101,7.4,David Bowie,102879,Dennis Lee
7,6000000,De Laurentiis Entertainment Group (DEG),David Lynch,Drama,8551228,Blue velvet,R,10/23/86,120,7.8,Isabella Rossellini,146768,David Lynch
8,9000000,Paramount Pictures,Howard Deutch,Comedy,40471663,Pretty in pink,PG-13,2/28/86,96,6.8,Molly Ringwald,60565,John Hughes
9,15000000,SLM Production Group,David Cronenberg,Drama,40456565,The fly,R,8/15/86,96,7.5,Jeff Goldblum,129698,George Langelaan
10,8800000,Rimfire Films,Peter Faiman,Adventure,174635000,Crocodile dundee,PG-13,9/26/86,97,6.5,Paul Hogan,79465,Ken Shadie
11,16000000,Thorn EMI Screen Entertainment,Russell Mulcahy,Action,5900000,Highlander,R,3/7/86,116,7.2,Christopher Lambert,104860,Gregory Widen
12,6000000,Twentieth Century Fox Film Corporation,David Seltzer,Comedy,8200000,Lucas,PG-13,3/28/86,100,6.8,Corey Haim,12228,David Seltzer
13,25000000,Twentieth Century Fox Film Corporation,John Carpenter,Action,11100000,Big trouble in little china,PG-13,7/2/86,99,7.3,Kurt Russell,101678,Gary Goldman
14,15000000,De Laurentiis Entertainment Group (DEG),Michael Mann,Crime,8620929,Manhunter,R,8/15/86,120,7.2,William Petersen,54000,Thomas Harris
