rank,name,year,total
1,Avengers: endgame,2019,2797800564
2,Avatar,2009,2790439000
3,Titanic,1997,2195169138
4,Star wars: episode vii - the force awakens,2015,2068223624
5,Avengers: infinity war,2018,2048359754
6,Jurassic world,2015,1670400637
7,The lion king,2019,1656943394
8,The avengers,2012,1518812988
9,Furious 7,2015,1515048151
10,Frozen ii,2019,1450026933
11,Avengers: age of ultron,2015,1402805868
12,Harry potter and the deathly hallows: part 2,2010,1361871305
13,Black panther,2018,1347280161
14,Star wars: episode viii - the last jedi,2017,1332539889
15,Jurassic world: fallen kingdom,2018,1308467944
16,Frozen,2013,1280802282
17,Beauty and the beast,2017,1263536328
18,Incredibles 2,2018,1242805359
19,The fate of the furious,2017,1236005118
20,Iron man 3,2013,1214811252
21,Minions,2015,1159418131
22,Captain america: civil war,2016,1153296293
23,Aquaman,2018,1148461807
24,The lord of the rings: the return of the king,2003,1141986831
25,Spider-man: far from home,2019,1131927996
26,Captain marvel,2019,1128275263
27,Transformers: dark of the moon,2011,1123794079
28,Skyfall,2012,1108561013
29,Transformers: age of extinction,2014,1104054072
30,The dark knight rises,2012,1081056756
31,Joker,2019,1074251311
32,Star wars: episode ix - the rise of skywalker,2019,1074144248
33,Toy story 4,2019,1073394593
34,Toy story 3,2010,1066969703
35,Pirates of the caribbean: dead man's chest,2006,1066179725
36,Rogue one: a star wars story,2016,1056057273
37,Aladdin,2019,1050693953
38,Pirates of the caribbean: on stranger tides,2011,1045713802
39,The dark knight,2008,1037989858
40,Despicable me 3,2017,1034799409
41,Jurassic park,1993,1032762121
42,Finding dory,2016,1028570889
43,Star wars: episode i - the phantom menace,1999,1027082707
44,Alice in wonderland,2010,1025467110
45,Zootopia,2016,1023784195
46,The hobbit: an unexpected journey,2012,1017003568
47,Harry potter and the sorcerer's stone,2001,1001732101
48,Harry potter and the deathly hallows: part 1,2010,980796121
49,Despicable me 2,2013,970766005
50,The lion king,1994,968511805
51,The jungle book,2016,966551947
52,Finding nemo,2003,962859504
53,Jumanji: welcome to the jungle,2017,962102237
54,Pirates of the caribbean: at world's end,2007,960996492
55,The hobbit: the desolation of smaug,2013,958366855
56,The hobbit: the battle of the five armies,2014,956019788
57,The lord of the rings: the two towers,2002,951213658
58,Harry potter and the order of the phoenix,2007,942049682
59,Harry potter and the half-blood prince,2009,934335712
60,Shrek 2,2004,928760770
61,Bohemian rhapsody,2018,903666641
62,Harry potter and the goblet of fire,2005,896354649
63,Harry potter and the chamber of secrets,2002,895860534
64,Spider-man 3,2007,894983373
65,The lord of the rings: the fellowship of the ring,2001,887840886
66,Ice age: dawn of the dinosaurs,2009,886686817
67,Spectre,2015,880674609
68,Spider-man: homecoming,2017,880166924
69,Ice age: continental drift,2012,877244782
70,The secret life of pets,2016,875457937
71,Batman v superman: dawn of justice,2016,873637516
72,Wolf warrior 2,2017,870325439
73,Star wars: episode iii - revenge of the sith,2005,868390560
74,The hunger games: catching fire,2013,865011746
75,Guardians of the galaxy vol. 2,2017,863756051
76,Inside out,2015,857951174
77,Venom,2018,856085151
78,Thor: ragnarok,2017,853977126
79,Transformers: revenge of the fallen,2009,836303693
80,Inception,2010,829899072
81,The twilight saga: breaking dawn - part 2,2012,829746820
82,Spider-man,2002,825025036
83,Wonder woman,2017,821847012
84,Independence day,1996,817400891
85,Fantastic beasts and where to find them,2016,814038508
86,Shrek the third,2007,813367380
87,Coco,2017,807082196
88,Harry potter and the prisoner of azkaban,2004,796783363
89,Jumanji: the next level,2019,796575993
90,Pirates of the caribbean: dead men tell no tales,2017,794861794
91,E.t. the extra-terrestrial,1982,793482178
92,2012,2009,791217826
93,Mission: impossible - fallout,2018,791115104
94,Indiana jones and the kingdom of the crystal skull,2008,790653942
95,Spider-man 2,2004,788976453
96,Fast & furious 6,2013,788679850
97,Deadpool 2,2018,785794179
98,Deadpool,2016,782612155
99,Star wars: episode iv - a new hope,1977,775521394
100,Guardians of the galaxy,2014,772782032
101,The da vinci code,2006,760006945
102,Fast & furious presents: hobbs & shaw,2019,759056935
103,Maleficent,2014,758410378
104,The amazing spider-man,2012,757930663
105,The hunger games: mockingjay - part 1,2014,755356711
106,Shrek forever after,2010,752600867
107,Madagascar 3: europe's most wanted,2012,746921274
108,Suicide squad,2016,746846894
109,X-men: days of future past,2014,746045700
110,"The chronicles of narnia: the lion, the witch and the wardrobe",2005,745013115
111,Monsters university,2013,743559607
112,The matrix reloaded,2003,741847697
113,Up,2009,735099082
114,Ne zha,2019,726063471
115,The twilight saga: new moon,2009,724256885
116,Gravity,2013,723192705
117,Captain america: the winter soldier,2014,714421503
118,The twilight saga: breaking dawn - part 1,2011,712205856
119,Dawn of the planet of the apes,2014,710644566
120,Transformers,2007,709709780
121,The amazing spider-man 2,2014,708982323
122,It,2017,701796444
123,The wandering earth,2019,699856699
124,The twilight saga: eclipse,2010,698491347
125,Mission: impossible - ghost protocol,2011,694713380
126,The hunger games,2012,694394724
127,Moana,2016,690860472
128,Forrest gump,1994,683090613
129,Mission: impossible - rogue nation,2015,682715352
130,Interstellar,2014,677941498
131,Doctor strange,2016,677718395
132,The sixth sense,1999,672806292
133,Man of steel,2013,668045518
134,Ice age: the meltdown,2006,667094506
135,Kung fu panda 2,2011,665692281
136,The hunger games: mockingjay - part 2,2015,658344137
137,Justice league,2017,657924295
138,Big hero 6,2014,657827828
139,Fantastic beasts: the crimes of grindelwald,2018,654855901
140,Pirates of the caribbean: the curse of the black pearl,2003,654264015
141,Star wars: episode ii - attack of the clones,2002,653779970
142,Thor: the dark world,2013,644783140
143,Sing,2016,634153632
144,"Monsters, inc.",2001,632316649
145,Kung fu panda,2008,631746197
