gross,name
52287414,Stand by Me
70136369,Ferris Bueller's Day Off
179800601,Top Gun
85160248,Aliens
18564613,Flight of the Navigator
138530565,Platoon
12729917,Labyrinth
8551228,Blue Velvet
40471663,Pretty in Pink
40456565,The Fly
174635000,Crocodile Dundee
5900000,Highlander
8200000,Lucas
11100000,Big Trouble in Little China
8620929,Manhunter
7433663,Maximum Overdrive
38747385,Little Shop of Horrors
3500000,The Wraith
16295774,Howard the Duck
13167232,Critters
91258000,Back to School
8025872,The Texas Chainsaw Massacre 2
42724017,Heartbreak Ridge
109713132,Star Trek IV: The Voyage Home
40697761,Short Circuit
7153487,The Name of the Rose
24159872,Iron Eagle
79817937,The Golden Child
4600000,River's Edge
39246734,Three Amigos!
49042224,Cobra
2003822,Betty Blue
17218023,The Mission
52293982,The Color of Money
115103979,The Karate Kid Part II
7177431,The Boy Who Could Fly
5844868,The Hitcher
37499651,The Money Pit
19472057,Jason Lives: Friday the 13th Part VI
14302779,The Mosquito Coast
47483002,An American Tail
2826523,Sid and Nancy
4711220,King Kong Lives
1261000,From Beyond
41382841,Peggy Sue Got Married
40996665,Poltergeist II: The Other Side
5450815,Troll
38500726,Running Scared
26285544,Wildcats
609939,Henry: Portrait of a Serial Killer
9697739,SpaceCamp
40084041,Hannah and Her Sisters
38600000,The Great Mouse Detective
16209459,Raw Deal
5849647,The Transformers: The Movie
2015882,Rad
591366,Night of the Creeps
4884663,Invaders from Mars
5839031,Crossroads
28607524,Hoosiers
300653,Sacrifice
2347000,At Close Range
15448384,Youngblood
4662137,"No Retreat, No Surrender"
14481606,Psicosis III
25314289,Heartburn
1953732,The Clan of the Cave Bear
17768900,The Delta Force
8988731,Deadly Friend
38702310,About Last Night...
27820000,Soul Man
13431806,One Crazy Summer
6797218,Trick or Treat
36611610,Gung Ho
25147055,The Morning After
43579163,Police Academy 3: Back in Training
7137502,She's Gotta Have It
71624879,Ruthless People
4865912,Band of the Hand
5186646,52 Pick-Up
31853080,Children of a Lesser God
15945534,Armed and Dangerous
1436000,Down by Law
20603715,F/X
13245219,The Adventures of Milo and Otis
8362969,Something Wild
3900000,The Manhattan Project
12947763,April Fool's Day
1579260,Solarbabies
17685307,The Big Easy
25587804,Jumpin' Jack Flash
1641825,Piratas
5274,When the Wind Blows
21458229,Tough Guys
206952,Matador
6637565,Black Moon Rising
7790931,The Best of Times
7369373,Witchboard
62134225,Down and Out in Beverly Hills
277646,Lady Jane
7634909,Quicksilver
5958456,My Little Pony: The Movie
916172,Gothic
1305114,8 Million Ways to Die
12303904,No Mercy
8033397,Haunted Honeymoon
320256,TerrorVision
3751699,Allan Quatermain and the Lost City of Gold
5794184,Mona Lisa
32324557,Nothing in Common
11834302,Firewalker
483460,Castaway
4941117,Vamp
3151,Caravaggio
21483,Mauvais Sang
4636169,Fire with Fire
12308521,Club Paradise
49851591,Legal Eagles
1476356,Clockwise
13418091,Extremities
8475466,Wise Guys
2444076,The Men's Club
4940939,Jean de Florette
2510433,Reform School Girls
3940542,Manon of the Spring
2315683,Shanghai Surprise
3800000,Power
604849,Modern Girls
22905500,Crimes of the Heart
2278264,Nomads
4601256,Eliminators
2147228,Meatballs III: Summer Job
9947631,Murphy's Law
2545142,True Stories
10090429,Under the Cherry Moon
278623,Every Time We Say Goodbye
930211,Absolute Beginners
3272600,'Round Midnight
4679650,Avenging Force
2995527,Bullies
112132,Biggles: Adventures in Time
4845724,American Anthem
5099316,Out of Bounds
4781448,My Chauffeur
11957943,Brighton Beach Memoirs
37455,Summer
3136701,The Naked Cage
1720450,Link
1131399,Half Moon Street
441863,"'night, Mother"
6029824,A Fine Mess
78068,Hardbodies 2
203781,The Assault
277405,Willy/Milly
239073,The Ladies Club
140980,Let's Get Harry
4007250,Tai-Pan
2750741,Deadtime Stories
2793214,Heat
1254040,Touch and Go
275000,The Boy in Blue
14205021,Sweet Liberty
681337,Killer Party
537681,Parting Glances
8540346,Care Bears Movie II: A New Generation
18034150,"Jo Jo Dancer, Your Life Is Calling"
1943751,Jake Speed
3388020,Born American
6947787,Blue City
544472,Malcolm
2669366,Playing for Keeps
8736,Duet for One
563358,Nobody's Fool
444746,The Whoopee Boys
4079895,That's Life!
14926,Body Slam
750000,Defense of the Realm
725000,Man Facing Southeast
1902706,The Decline of the American Empire
4743287,Violets Are Blue...
1500000,The Whistle Blower
1301121,Native Son
416393,Desert Bloom
1777378,Working Girls
925952,Menage
583800,Oviri
181410,In the Shadow of Kilimanjaro
432266,Kangaroo
2390525,Dangerously Close
781727,Nutcracker
837623,Ginger and Fred
502237,Dream Lover
6408791,Just Between Friends
145975,Thunder Run
1096843,The Longshot
4842778,Off Beat
2520664,Streets of Gold
351623,Weekend Warriors
2295500,Sky Bandits
1368912,Armed Response
189042,Otello
440438,On the Edge
63860,Low Blow
1444618,Belizaire the Cajun
227510,A Man and a Woman: 20 Years Later
1900000,Quiet Cool
2497233,Behind Enemy Lines
193153,Wired to Kill
149440,The Fringe Dwellers
164187,Scene of the Crime
1338264,GoBots: Battle of the Rock Lords
267249,The Gospel According to Vic
601451,Knights of the City
18209,Saving Grace
492367,Jackals
22123,Detective School Dropouts
676166,Where the River Runs Black
2193642,Heathcliff: The Movie
32279,One More Saturday Night
30857814,The Princess Bride
14564027,Hellraiser
46357676,Full Metal Jacket
63952836,Dirty Dancing
32222567,The Lost Boys
59735548,Predator
38122105,The Running Man
38119483,Spaceballs
53424681,RoboCop
65207127,Lethal Weapon
76270454,The Untouchables
5923044,Evil Dead II
17336370,Masters of the Universe
3769990,The Monster Squad
156645693,Fatal Attraction
51185897,The Living Daylights
43848100,Wall Street
22238696,Empire of the Sun
31623833,Can't Buy Me Love
63766510,The Witches of Eastwick
35658098,Summer School
44793222,A Nightmare on Elm Street 3: Dream Warriors
34368475,Adventures in Babysitting
13839404,Hamburger Hill
20763013,Jaws: The Revenge
16057580,Over the Top
49530280,"Planes, Trains & Automobiles"
22847564,Raising Arizona
17185632,Angel Heart
18553948,Some Kind of Wonderful
42721196,Mannequin
26713187,Overboard
25893810,Innerspace
80640528,Moonstruck
153665000,Beverly Hills Cop II
29760613,Harry and the Hendersons
43984230,The Last Emperor
123922370,"Good Morning, Vietnam"
3130592,Maurice
167780960,3 Men and a Baby
14182492,Prince of Darkness
54215416,La Bamba
3369307,Near Dark
3210139,Wings of Desire
12396383,Less Than Zero
35509515,No Way Out
32945797,*batteries not included
26712476,Baby Boom
1544889,Withnail & I
15151736,Flowers in the Attic
51249404,Broadcast News
13539458,T˙nel al infierno
15681020,Superman IV: The Quest for Peace
14000000,Creepshow 2
7888703,Teen Wolf Too
40050884,Roxanne
66995879,The Secret of My Succe$s
57387516,Dragnet
124167,"Rita, Sue and Bob Too"
39321715,Blind Date
7800000,House II: The Second Story
28061343,Police Academy 4: Citizens on Patrol
1576615,The Garbage Pail Kids Movie
57915972,Throw Momma from the Train
2488740,The Stepfather
9747988,The Hidden
548696,Amazon Women on the Moon
3221568,Barfly
3685862,Three O'Clock High
4398938,Babette's Feast
18753438,The Believers
13290368,The Pick-up Artist
14792779,Radio Days
1028679,Aria
23509382,Ernest Goes to Camp
4542825,Au Revoir les Enfants
10278549,Someone to Watch Over Me
7305209,Who's That Girl
5899797,Cry Freedom
12423831,The Fourth Protocol
7393346,Ironweed
25205460,Black Widow
65673233,Stakeout
34377585,Like Father Like Son
3587303,Bagdad Cafe
769119,Shy People
30063289,Revenge of the Nerds II: Nerds in Paradise
2683519,Prom Night II
6880310,Death Wish 4: The Crackdown
18532286,Project X
3832228,North Shore
519596,Man on Fire
800000,The Barbarians
14375181,Ishtar
5228617,Hollywood Shuffle
1749956,Hunk
2585639,House of Games
2877571,No Man's Land
1930001,The Curse
18782400,Suspect
19734940,The Principal
10021120,Hope and Glory
52864741,Outrageous Fortune
11307844,Extreme Prejudice
4000000,American Ninja 2: The Confrontation
1680358,Matewan
1539000,Three for the Road
4916871,Leonard Part 6
1119112,Street Smart
1654743,Prick Up Your Ears
5406879,The Sicilian
17355263,Born in East L.A.
10489617,Light of Day
2053931,Pelle the Conqueror
1189709,Return to Horror High
13110903,Back to the Beach
1149470,Nightflyers
12046526,Fatal Beauty
300859,White Water Summer
1338198,The Whales of August
7019441,Hiding Out
174380,My Best Friend Is a Vampire
3060858,Malone
4215859,Hot Pursuit
873903,Real Men
1432687,A Prayer for the Dying
5262047,Gardens of Stone
7555000,Wanted: Dead or Alive
6804312,The Chipmunk Adventure
2407024,The Kindred
4572845,Made in Heaven
5715174,Wisdom
3107551,White Mischief
486434,September
4370078,The Dead
562187,Steel Dawn
354704,Prison
30950002,Nuts
25411386,Tin Men
760000,The Hanoi Hilton
796368,Rampage
1733017,The Big Town
3283832,Wish You Were Here
2700000,The Allnighter
287725,The Belly of an Architect
4278150,Best Seller
700000,Siesta
316199,Promised Land
12640385,The Bedroom Window
2201428,Dark Eyes
9868521,Maid to Order
225358,Square Dance
210200,Straight to Hell
16337355,Burglar
999382,In the Mood
1083486,84 Charing Cross Road
154323,"Silent Night, Deadly Night 2"
969205,Five Corners
1988962,Date with an Angel
257043,Walker
626724,Deadly Illusion
406881,Slam Dance
2228951,The Squeeze
1744164,Personal Services
6075793,Assassination
13133,Creepozoids
1262091,China Girl
5669831,Nadine
2413427,Dead of Winter
108154,"No Retreat, No Surrender 2"
895904,The Glass Menagerie
228789,Anguish
443524,A Month in the Country
1355728,From a Whisper to a Scream
20419446,Hello Again
1025228,Little Dorrit
460608,Walk Like a Man
858250,Tough Guys Don't Dance
10348437,Disorderlies
743445,"Sister, Sister"
1584970,Making Mr. Right
225132,White of the Eye
2189047,Russkies
5711976,Surrender
1083282,Housekeeping
213901,The Year My Voice Broke
187920,Hell High
949451,A Man in Love
9518342,From the Hip
1025762,Cross My Heart
3390043,Big Shots
20240502,Critical Condition
41174,Cyclone
2136381,Morgan Stewart's Coming Home
285885,Cold Steel
21905,Zombie High
112560,Intervista
3922273,My Demon Lover
355253,Rumpelstiltskin
307000,World Gone Wild
197791,Enemy Territory
901364,Julia and Julia
119919,Crazy Love
2325444,Weeds
760539,The Grand Highway
1155020,Peter Kenna's The Good Wife
295000,Rent-a-Cop
823243,Boyfriends and Girlfriends
1196336,Sammy and Rosie Get Laid
4546244,Death Before Dishonor
500283,The Killing Time
200723,Eat the Rich
205507,The Trouble with Spies
22257624,Benji the Hunted
1730337,The Rosary Murders
1092911,Swimming to Cambodia
1392616,Penitentiary III
1327740,Steele Justice
215073,Four Adventures of Reinette and Mirabelle
790000,Beyond Therapy
73707461,Beetlejuice
128152300,Coming to America
33244684,Child's Play
83008852,Die Hard
57269863,Willow
1108462,Heathers
172825435,Rain Man
13008928,They Live
156452370,Who Framed Roger Rabbit
553171,Akira
114968774,Big
78222753,Cocktail
11990401,Cinema Paradiso
8247943,The Blob
4385516,Pumpkinhead
63493712,A Fish Called Wanda
15625095,Killer Klowns from Outer Space
38413606,Midnight Run
11090735,Hellbound: Hellraiser II
34603943,Mississippi Burning
78041829,The Naked Gun: From the Files of Police Squad!
11806119,Bloodsport
64000000,Working Girl
109305000,Crocodile Dundee II
48092846,The Land Before Time
111936400,Twins
34700000,Dangerous Liaisons
10006806,The Unbearable Lightness of Being
3500000,The Big Blue
57041866,Beaches
17768757,Halloween 4: The Return of Michael Myers
45661556,Young Guns
34994648,Red Heat
12793213,Mystic Pizza
53715611,Rambo III
32069318,Acusados
