,Rank,Title,Lifetime Gross,Year
0,201,Dunkirk,"$526,944,695",2017
1,202,Godzilla,"$524,976,069",2014
2,203,Sherlock Holmes,"$524,028,679",2009
3,204,Meet the Fockers,"$522,657,936",2004
4,205,How to Train Your Dragon: The Hidden World,"$521,802,551",2019
5,206,WALL·E,"$521,311,860",2008
6,207,Kung Fu Panda 3,"$521,170,825",2016
7,208,Terminator 2: Judgment Day,"$520,884,847",1991
8,209,Ant-Man,"$519,311,965",2015
9,210,The Grinch,"$511,595,957",2018
10,211,Ghost,"$505,870,681",1990
11,212,Aladdin,"$504,050,219",1992
12,213,Rio 2,"$498,781,117",2014
13,214,Troy,"$497,409,852",2004
14,215,Toy Story 2,"$497,374,776",1999
15,216,How to Train Your Dragon,"$494,878,759",2010
16,217,Twister,"$494,471,524",1996
17,218,Oz The Great and Powerful,"$493,311,825",2013
18,219,Clash of the Titans,"$493,214,993",2010
19,220,Maleficent: Mistress of Evil,"$491,730,089",2019
20,221,War for the Planet of the Apes,"$490,719,763",2017
21,222,Shrek,"$487,769,799",2001
22,223,Mr. & Mrs. Smith,"$487,287,646",2005
23,224,Angels & Demons,"$485,930,816",2009
24,225,Teenage Mutant Ninja Turtles,"$485,004,754",2014
25,226,Bruce Almighty,"$484,592,874",2003
26,227,Rio,"$483,866,518",2011
27,228,Saving Private Ryan,"$482,349,603",1998
28,229,Rise of the Planet of the Apes,"$481,800,873",2011
29,230,Home Alone,"$477,063,114",1990
30,231,Star Wars: Episode VI - Return of the Jedi,"$475,347,111",1983
31,232,Charlie and the Chocolate Factory,"$474,968,763",2005
32,233,Hotel Transylvania 2,"$474,800,000",2015
33,234,Indiana Jones and the Last Crusade,"$474,310,887",1989
34,235,San Andreas,"$473,990,832",2015
35,236,It Chapter Two,"$473,093,228",2019
36,237,Jaws,"$471,859,371",1975
37,238,Wreck-It Ralph,"$471,222,889",2012
38,239,The Hangover,"$469,310,836",2009
39,240,The Lego Movie,"$468,060,692",2014
40,241,Bumblebee,"$467,989,645",2018
41,242,Star Trek Into Darkness,"$467,365,246",2013
42,243,The Matrix,"$465,347,581",1999
43,244,Pretty Woman,"$463,406,268",1990
44,245,Cars,"$461,991,867",2006
45,246,Gladiator,"$460,583,960",2000
46,247,X-Men: The Last Stand,"$460,435,291",2006
47,248,National Treasure: Book of Secrets,"$459,242,249",2007
48,249,Lucy,"$458,863,600",2014
49,250,Mission: Impossible,"$457,731,198",1996
50,251,300,"$456,068,181",2007
51,252,The Last Samurai,"$454,627,263",2003
52,253,Dying to Survive,"$451,183,391",2018
53,254,Ocean's Eleven,"$450,717,150",2001
54,255,"My People, My Country","$450,064,993",2019
55,256,Thor,"$449,326,618",2011
56,257,Pearl Harbor,"$449,220,945",2001
57,258,Tarzan,"$448,191,819",1999
58,259,La La Land,"$446,486,224",2016
59,260,Men in Black II,"$445,135,288",2002
60,261,The Bourne Ultimatum,"$444,100,035",2007
61,262,The Mummy Returns,"$443,280,904",2001
62,263,Alvin and the Chipmunks: The Squeakquel,"$443,140,005",2009
63,264,Les Misérables,"$441,809,770",2012
64,265,The Exorcist,"$441,306,145",1973
65,266,Mrs. Doubtfire,"$441,286,195",1993
66,267,Terminator Genisys,"$440,603,537",2015
67,268,Beauty and the Beast,"$440,118,382",1991
68,269,Warcraft,"$439,048,914",2016
69,270,A Star Is Born,"$436,188,866",2018
70,271,The Greatest Showman,"$435,026,226",2017
71,272,Terminator 3: Rise of the Machines,"$433,371,112",2003
72,273,Pokémon Detective Pikachu,"$433,005,346",2019
73,274,Die Another Day,"$431,971,116",2002
74,275,The Secret Life of Pets 2,"$430,051,293",2019
75,276,Cast Away,"$429,632,142",2000
76,277,Rampage,"$428,028,233",2018
77,278,The King's Speech,"$427,374,317",2010
78,279,The Matrix Revolutions,"$427,344,031",2003
79,280,The Intouchables,"$426,588,510",2011
80,281,Django Unchained,"$425,368,238",2012
81,282,Dances with Wolves,"$424,208,848",1990
82,283,Twilight,"$421,667,219",2008
83,284,The Chronicles of Narnia: Prince Caspian,"$419,665,568",2008
84,285,Bad Boys for Life,"$419,074,646",2020
85,286,Sex and the City,"$418,765,321",2008
86,287,The Captain,"$416,953,262",2019
87,288,The Mummy,"$415,933,406",1999
88,289,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217",2010
89,290,Jason Bourne,"$415,484,914",2016
90,291,The Wolverine,"$414,828,246",2013
91,292,Kingsman: The Secret Service,"$414,351,546",2015
92,293,Night at the Museum: Battle of the Smithsonian,"$413,106,170",2009
93,294,Batman,"$411,556,825",1989
94,295,The Bodyguard,"$411,006,740",1992
95,296,Pacific Rim,"$411,002,906",2013
96,297,Kingsman: The Golden Circle,"$410,902,662",2017
97,298,Mamma Mia! Here We Go Again,"$410,451,860",2018
98,299,The Mummy,"$409,231,607",2017
99,300,Ice Age: Collision Course,"$408,579,038",2016
100,301,Signs,"$408,247,917",2002
101,302,X2: X-Men United,"$407,711,549",2003
102,303,Alita: Battle Angel,"$404,852,543",2019
103,304,Toy Story,"$404,265,438",1995
104,305,The Mummy: Tomb of the Dragon Emperor,"$403,449,830",2008
105,306,Prometheus,"$403,354,469",2012
106,307,Gone with the Wind,"$402,352,579",1939
107,308,TRON: Legacy,"$400,062,763",2010
108,309,Mission: Impossible III,"$398,479,497",2006
109,310,Grease,"$397,115,505",1978
110,311,Snow White and the Huntsman,"$396,592,829",2012
111,312,Solo: A Star Wars Story,"$392,924,807",2018
112,313,The Wolf of Wall Street,"$392,000,694",2013
113,314,Back to the Future,"$391,352,459",1985
114,315,Superman Returns,"$391,081,192",2006
115,316,Robin Hood: Prince of Thieves,"$390,493,908",1991
