,Rank,Title,Lifetime Gross,Year
0,6201,Magic Carpet Ride,"$14,188,490",2005
1,6202,Kukhnya v Parizhe,"$14,187,131",2014
2,6203,Tri bogatyrya i printsessa Egipta,"$14,184,783",2017
3,6204,Prince of Darkness,"$14,182,492",1987
4,6205,Confession of Pain,"$14,182,296",2006
5,6206,Happy Flight,"$14,160,032",2008
6,6207,Wholly Moses!,"$14,155,617",1980
7,6208,Art of Seduction,"$14,152,879",2005
8,6209,Muro: Nalet Olsun Içimdeki Insan Sevgisine,"$14,148,610",2008
9,6210,What Planet Are You From?,"$14,145,677",2000
10,6211,Ernest Scared Stupid,"$14,143,280",1991
11,6212,La première étoile,"$14,138,745",2009
12,6213,School Life,"$14,136,095",2019
13,6214,Ya veremos,"$14,134,723",2018
14,6215,Godzilla vs. Mechagodzilla,"$14,122,958",2002
15,6216,Shaandaar,"$14,120,808",2015
16,6217,Sotto una buona stella,"$14,119,210",2014
17,6218,Football Days,"$14,117,202",2003
18,6219,Poltergeist III,"$14,114,488",1988
19,6220,Cool World,"$14,110,589",1992
20,6221,Dragonslayer,"$14,110,013",1981
21,6222,Red Lights,"$14,107,313",2012
22,6223,District 13: Ultimatum,"$14,103,752",2009
23,6224,Tomboy,"$14,100,000",1985
24,6225,Diner,"$14,099,953",1982
25,6226,Les Misérables,"$14,096,321",1998
26,6227,100 Things,"$14,093,397",2018
27,6228,Seeking Justice,"$14,089,528",2011
28,6229,Samurai Hustle,"$14,086,665",2014
29,6230,No More Cry,"$14,084,985",2009
30,6231,Rebirth,"$14,066,908",2011
31,6232,Three Steps Above Heaven,"$14,066,238",2010
32,6233,The Arrival,"$14,063,331",1996
33,6234,The Perfect Weapon,"$14,061,361",1991
34,6235,Coward Hero,"$14,059,651",2019
35,6236,FairyTale: A True Story,"$14,059,077",1997
36,6237,Les gamins,"$14,057,569",2013
37,6238,The Beastmaster,"$14,056,528",1982
38,6239,Blues Brothers 2000,"$14,051,384",1998
39,6240,When Romance Meets Destiny,"$14,049,623",2005
40,6241,Private School,"$14,049,540",1983
41,6242,Brice 3,"$14,039,310",2016
42,6243,Osmosis Jones,"$14,026,418",2001
43,6244,The Eight Rangers,"$14,013,405",2012
44,6245,In Too Deep,"$14,011,454",1999
45,6246,Ghosts of Mars,"$14,010,832",2001
46,6247,How to Be a Player,"$14,009,368",1997
47,6248,Lucky Trouble,"$14,005,861",2011
48,6249,Ozzy,"$14,005,298",2016
49,6250,On a Clear Day You Can See Forever,"$14,000,000",1970
50,6251,Missing,"$14,000,000",1982
51,6252,The Survivors,"$14,000,000",1983
52,6253,Creepshow 2,"$14,000,000",1987
53,6254,Barefoot,"$14,000,000",2005
54,6255,Stand and Deliver,"$13,994,920",1988
55,6256,Lord of the Flies,"$13,985,225",1990
56,6257,Mysterious Island,"$13,969,010",2011
57,6258,Follow That Bird,"$13,961,370",1985
58,6259,Vizontele Tuuba,"$13,954,476",2004
59,6260,Candyman: Farewell to the Flesh,"$13,940,383",1995
60,6261,Tenacious D in the Pick of Destiny,"$13,939,963",2006
61,6262,Idiots,"$13,936,317",2002
62,6263,I soliti idioti,"$13,927,866",2011
63,6264,Heyy Babyy,"$13,921,302",2007
64,6265,Kisarazu Cats' Eye: Sayonara Game,"$13,917,322",2006
65,6266,Touching the Void,"$13,904,795",2003
66,6267,Dirty Pretty Things,"$13,904,766",2002
67,6268,Labyrinth,"$13,904,732",1986
68,6269,Forbidden Dream,"$13,902,314",2019
69,6270,The Missing,"$13,887,720",2017
70,6271,Drop Dead Fred,"$13,878,334",1991
71,6272,The Miracles of the Namiya General Store,"$13,871,918",2017
72,6273,The Tuche Family,"$13,867,701",2011
73,6274,The Golden Monk,"$13,867,066",2017
74,6275,Hotel Deluxe,"$13,866,613",2013
75,6276,My Stepmother Is an Alien,"$13,854,000",1988
76,6277,French Spies,"$13,853,682",2004
77,6278,City Under Siege,"$13,851,432",2010
78,6279,Torrente 5,"$13,851,074",2014
79,6280,Tri bogatyrya: Khod konem,"$13,845,029",2015
80,6281,Politseyskiy s Rublyovki. Novogodniy bespredel 2,"$13,843,719",2019
81,6282,Hamburger Hill,"$13,839,404",1987
82,6283,The Quake,"$13,837,294",2018
83,6284,The Milagro Beanfield War,"$13,825,794",1988
84,6285,La Belle Époque,"$13,824,142",2019
85,6286,Trener,"$13,821,095",2018
86,6287,House of the Dead,"$13,818,181",2003
87,6288,Three heroes and the King of the Sea,"$13,816,357",2016
88,6289,Desperate Measures,"$13,806,137",1998
89,6290,Rudolf the Black Cat,"$13,804,754",2016
