,Rank,Title,Lifetime Gross,Year
0,8801,Goon,"$6,985,158",2012
1,8802,Psychokinesis,"$6,981,970",2018
2,8803,Children of the Corn II: The Final Sacrifice,"$6,980,986",1993
3,8804,Donnie Darko,"$6,979,093",2001
4,8805,Kôdaike no hitobito,"$6,978,689",2016
5,8806,Halal police d'État,"$6,975,269",2011
6,8807,Cesar Chavez,"$6,972,226",2007
7,8808,Trial by Jury,"$6,971,777",1994
8,8809,I Ought to Be in Pictures,"$6,968,359",1982
9,8810,Quatre étoiles,"$6,967,931",2006
10,8811,Ask This of Rikyu,"$6,966,862",2013
11,8812,Days and Clouds,"$6,966,224",2007
12,8813,The Princess of Montpensier,"$6,965,201",2010
13,8814,Strange Wilderness,"$6,964,734",2008
14,8815,11-11-11,"$6,963,872",2011
15,8816,We Love,"$6,961,334",2018
16,8817,Wolyn,"$6,960,645",2016
17,8818,The Clown,"$6,960,601",2011
18,8819,My Love Story!!,"$6,960,219",2015
19,8820,Shag,"$6,957,975",1989
20,8821,Mamoru Yonezawa the Scientific Criminal Investigation Officer,"$6,956,095",2009
21,8822,Mighty Pups,"$6,954,740",2018
22,8823,S.I.U.,"$6,954,255",2011
23,8824,The Salesman,"$6,953,604",2016
24,8825,Red Sonja,"$6,951,415",1985
25,8826,La Cage aux Folles II,"$6,950,125",1981
26,8827,Suburban Commando,"$6,948,859",1991
27,8828,Blue City,"$6,947,787",1986
28,8829,What We Do in the Shadows,"$6,946,808",2014
29,8830,The Bride,"$6,945,256",2017
30,8831,Crossroads,"$6,943,105",2011
31,8832,Wo ist Fred?,"$6,942,312",2006
32,8833,Always,"$6,941,450",2011
33,8834,Almost an Angel,"$6,939,946",1990
34,8835,13 Roses,"$6,939,516",2007
35,8836,Father and Sons,"$6,935,839",2003
36,8837,Ladies' Night,"$6,934,464",2003
37,8838,The Wedding Banquet,"$6,933,459",1993
38,8839,"Treintona, Soltera y Fantástica","$6,932,071",2016
39,8840,The Storm,"$6,931,925",2009
40,8841,Çok Filim Hareketler Bunlar,"$6,928,959",2010
41,8842,The Command,"$6,926,443",2018
42,8843,Igby Goes Down,"$6,919,198",2002
43,8844,The Spectacular Now,"$6,918,591",2013
44,8845,Bleach the Movie 2: The Diamond Dust Rebellion,"$6,916,899",2007
45,8846,Don 2,"$6,913,518",2011
46,8847,A Cry in the Dark,"$6,908,797",1988
47,8848,Kamen Rider Den-O & Kiva: Climax Deka,"$6,908,255",2008
48,8849,Ivan the Incredible,"$6,907,409",2012
49,8850,Fünf Freunde 4,"$6,904,651",2015
50,8851,Blood Father,"$6,903,033",2016
51,8852,The Amateur,"$6,892,098",1982
52,8853,Centurion,"$6,890,432",2010
53,8854,Barbara,"$6,889,185",2012
54,8855,Veer-Zaara,"$6,887,221",2004
55,8856,Secret,"$6,883,251",2009
56,8857,Survival Family,"$6,882,845",2017
57,8858,Akai tsuki,"$6,882,334",2004
58,8859,The Unknown Woman,"$6,881,566",2006
59,8860,Viva l'Italia,"$6,880,371",2012
60,8861,Death Wish 4: The Crackdown,"$6,880,310",1987
61,8862,Woman Thou Art Loosed,"$6,879,730",2004
62,8863,The Awakening,"$6,879,667",2011
63,8864,Talvar,"$6,879,098",2015
64,8865,A Good Woman,"$6,878,433",2005
65,8866,Ladrón que roba a ladrón,"$6,875,089",2007
66,8867,Last Orders,"$6,873,892",2002
67,8868,Heartbeat,"$6,869,987",2011
68,8869,Golden Chickensss,"$6,866,023",2014
69,8870,Never Talk to Strangers,"$6,858,261",1995
70,8871,Romantic Comedy,"$6,857,733",1983
71,8872,Bee Season,"$6,856,989",2005
72,8873,Almost Perfect,"$6,855,809",2008
73,8874,Private Fears In Public Places (Coeurs),"$6,855,294",2006
74,8875,The Slurb,"$6,854,681",2001
75,8876,Haru wo seotte,"$6,853,262",2014
76,8877,200 Cigarettes,"$6,852,450",1999
77,8878,Proud of Me,"$6,849,959",2018
78,8879,Bacon on the Side,"$6,846,472",2010
79,8880,Macross Frontier: The Wings of Goodbye,"$6,845,201",2011
80,8881,The Law of God,"$6,844,275",2003
81,8882,Dog Days,"$6,842,356",2018
82,8883,Exit to Eden,"$6,841,570",1994
83,8884,Noah's Ark,"$6,837,093",2007
84,8885,The Bugle from Gutian,"$6,836,934",2019
85,8886,The Pope of Greenwich Village,"$6,836,201",1984
86,8887,Commitment,"$6,834,802",2013
87,8888,Among Wolves,"$6,834,680",2010
88,8889,Panther,"$6,834,525",1995
89,8890,72 Tenants of Prosperity,"$6,833,354",2010
90,8891,Love in Magic,"$6,830,664",2005
91,8892,Thick as Thieves,"$6,828,037",2009
92,8893,Ibiza,"$6,822,634",2019
93,8894,Mixed Nuts,"$6,821,850",1994
94,8895,GG Bond: Guarding,"$6,821,075",2017
95,8896,Prey,"$6,820,723",2016
96,8897,The Reunion,"$6,820,097",2011
97,8898,Flawless,"$6,819,587",2007
98,8899,Collide,"$6,817,535",2016
99,8900,Race 3,"$6,817,391",2018
100,8901,Open Water 2: Adrift,"$6,816,129",2006
101,8902,North Face,"$6,815,056",2008
102,8903,Bran Nue Dae,"$6,812,530",2010
